YEAR,MO,DY,T2M,T2MDEW,T2MWET,QV2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,RH2M,TS
1981,2,11,-11.54,-19.38,-15.46,1.22,0.07,58.57,4.03,250.06,5.88,252.19,55.75,-10.77
1981,2,12,-11.17,-18.1,-14.63,1.34,0.3,58.48,5.66,278.19,7.77,279.62,59,-11.31
1981,2,13,-10.12,-14.95,-12.54,1.83,0.25,58.67,4.36,231.12,5.76,233.12,70.25,-10.74
1981,2,14,-8.65,-14.07,-11.36,2.01,0.01,58.65,5.16,235.62,7.2,237.31,67.44,-8.98
1981,2,15,-8.47,-16.26,-12.37,1.65,0,58.73,4.91,257.25,6.62,259.12,56.69,-8.35
1981,2,16,-8.63,-16.47,-12.55,1.59,0,58.78,5.91,259.06,8.07,260.31,56.06,-8.89
1981,2,17,-8.54,-16.76,-12.65,1.53,0,58.82,5.69,247.81,7.91,249.25,55.44,-8.76
1981,2,18,-8.41,-17.54,-12.97,1.4,0,58.78,6.72,261.19,9.56,262.69,50.56,-8.44
1981,2,19,-8.27,-17.1,-12.68,1.46,0.17,59,6.7,259.12,9.2,260.44,51.5,-8.42
1981,2,20,-6.46,-15.13,-10.79,1.83,0.02,58.87,6.99,253.19,9.59,254.56,52.94,-6.4
1981,2,21,-6.81,-16.96,-11.88,1.53,0.02,58.75,8.41,259.5,11.47,260.94,47.62,-6.39
1981,2,22,-6.52,-17.35,-11.93,1.46,0.01,58.67,8.68,258.44,12,259.81,42.25,-6.36
1981,2,23,-5.32,-14.85,-10.08,1.83,1.44,58.84,7.92,260.75,11.38,262.38,49.25,-5.28
1981,2,24,-5.93,-12.51,-9.22,2.32,0.18,58.91,5.86,274.56,8.3,275.69,63.25,-5.7
1981,2,25,-7.53,-13.91,-10.72,2.01,0.07,58.91,5.49,243.75,7.34,245.06,63.75,-7.79
1981,2,26,-7.13,-15.6,-11.37,1.77,0.04,58.78,6.7,257.62,9.36,258.81,55.12,-6.51
1981,2,27,-6.77,-14.91,-10.84,1.89,0.02,58.76,6.29,247.25,8.82,248.75,56.38,-6.54
1981,2,28,-6.74,-11.37,-9.06,2.56,1.4,58.59,5.05,241.81,6.7,242.88,72.44,-6.89
1981,3,1,-8.41,-13.42,-10.92,2.14,3.65,58.61,5.82,227.56,7.83,228.94,69.81,-8.85
1981,3,2,-7.73,-13.54,-10.63,2.14,2.45,58.57,4.98,215.69,6.38,216.75,66.75,-7.65
1981,3,3,-13.38,-19.31,-16.35,1.22,0.3,59.04,5.73,198.81,7.3,199.06,60.5,-12.76
1981,3,4,-11.19,-18.75,-14.97,1.28,0,59.18,5.91,269.75,8.18,270.94,54.12,-12.27
1981,3,5,-8.06,-16.35,-12.2,1.59,0,59.32,5.5,286.62,7.55,287.25,51.62,-9.14
1981,3,6,-7.13,-13.87,-10.5,2.08,0.77,59.43,2.07,205.56,2.87,207.69,61.12,-8.14
1981,3,7,-4.57,-10.84,-7.7,2.69,0.15,59.11,4.52,241.62,6.19,242.44,66.38,-4.07
1981,3,8,-6.4,-10.85,-8.63,2.69,0.5,58.97,2.71,243.31,3.62,243.69,73.38,-5.56
1981,3,9,-7.1,-15.14,-11.12,1.83,0.2,58.98,5.88,254.25,7.66,255.12,56.75,-6.81
1981,3,10,-7.72,-11.87,-9.8,2.5,0.55,58.83,3.17,215.25,4.06,216.44,74.25,-7.68
1981,3,11,-6.21,-13.82,-10.02,2.08,0.02,58.89,4.52,243.38,6.04,245.06,59.44,-5.52
1981,3,12,-6.82,-13.38,-10.1,2.14,0.16,59.03,4.83,235.19,6.16,236.38,63.12,-6.38
1981,3,13,-6.35,-10.57,-8.46,2.75,0.41,59.12,2.53,239.06,3.14,239.94,74.94,-6.05
1981,3,14,-5.42,-13.2,-9.31,2.2,0.05,59.31,3.23,255.06,4.22,256,59.25,-3.92
1981,3,15,-4.96,-13.56,-9.26,2.14,0.01,59.32,4.33,247.19,5.62,248.81,55.88,-4.27
1981,3,16,-2.55,-9.91,-6.23,2.93,1.79,58.93,3.91,241.5,5.07,242.31,60.75,-1.41
1981,3,17,-4.38,-8.91,-6.65,3.17,2.58,58.78,3.22,29.5,3.78,29.19,72.75,-3.1
1981,3,18,-6.14,-13.13,-9.63,2.2,0.35,59.08,2.8,180.94,3.61,182.56,59.94,-5.77
1981,3,19,-5.17,-14.34,-9.75,2.01,0,59.25,3.44,261.81,4.7,263.44,50.75,-4.89
1981,3,20,-3.36,-9.13,-6.24,3.17,0.61,59.02,4.62,224.38,6.1,225.88,67.38,-2.86
1981,3,21,-2.03,-8.81,-5.42,3.23,0.89,58.99,4.07,238.69,5.27,240.06,65.62,-1.1
1981,3,22,-2.32,-9.75,-6.03,3.11,1.16,58.54,7.04,233.5,9.2,234.56,60.5,-2.01
1981,3,23,-5.74,-14.23,-9.99,2.01,0.55,58.62,4.26,280.62,5.15,281.06,51.44,-4.49
1981,3,24,-9.35,-18.52,-13.94,1.34,0.07,59.27,2.64,313.5,3.34,315.25,47.81,-6.9
1981,3,25,-6.67,-16.35,-11.51,1.59,0,59.28,2.31,240,2.89,242,47.56,-5.08
1981,3,26,-4.97,-13.05,-9.01,2.26,0.19,58.9,3.22,202.38,3.84,203.5,54.19,-3.44
1981,3,27,-4.85,-10.23,-7.53,2.87,0.94,58.69,3.59,242.19,4.71,243.75,68.38,-3.41
1981,3,28,-6.69,-14.68,-10.68,1.89,3.03,58.9,3.69,288.44,4.69,289.31,55.75,-4.13
1981,3,29,-7.26,-15.44,-11.35,1.77,0.03,58.96,4.02,277.56,5.29,279.44,53.69,-7.03
1981,3,30,-2.06,-10.1,-6.08,2.93,0.2,58.96,5.55,236.19,7.34,237.5,58.56,-1.26
1981,3,31,-0.91,-6.89,-3.9,3.78,0.03,58.84,4.15,224.56,5.55,226.38,66.5,-0.13
1981,4,1,-1.62,-6.93,-4.27,3.78,0.5,58.78,5.21,197.25,6.38,198.38,69.5,-0.57
1981,4,2,-2.56,-9.82,-6.2,2.99,2.31,58.86,4.68,248.56,6.18,250,61.31,-2.11
1981,4,3,-2.37,-10.45,-6.41,2.81,0.23,58.78,5.21,248,6.88,249.62,55.56,-1.56
1981,4,4,-2.11,-10.2,-6.16,2.87,0.27,58.68,5.09,249,6.85,250.94,57.94,-1.12
1981,4,5,-2.35,-10.51,-6.42,2.81,2.65,58.69,4.73,239.5,6.23,240.88,56.56,-1.31
1981,4,6,-3.49,-10.24,-6.86,2.87,3.25,58.79,5.02,238.75,6.41,239.69,61.62,-2.86
1981,4,7,-5.82,-13.13,-9.48,2.2,1.64,59.08,4.16,269.88,5.18,271.44,58.38,-5.12
1981,4,8,-4.29,-13.02,-8.65,2.26,0.56,59.19,3.09,227.44,3.94,228.62,53.56,-3.57
1981,4,9,-3.92,-10.94,-7.43,2.69,0.38,59.11,3.62,248.25,4.52,249.06,61.5,-2.64
1981,4,10,-4.86,-12.61,-8.74,2.26,0.08,59.22,1.99,211.06,2.38,210.94,56.31,-3.61
1981,4,11,-4.17,-13.54,-8.86,2.14,0,59.29,2.81,273.56,3.54,274.12,51.25,-1.69
1981,4,12,-3.58,-12.61,-8.1,2.32,0.64,59.24,5.42,236,6.57,236.94,51.44,-2.47
1981,4,13,-3.33,-10.9,-7.12,2.75,0.11,59.25,4.44,256.44,5.58,257.56,59.38,-2.24
1981,4,14,-1.01,-9.56,-5.28,2.99,0.08,59.3,4.3,282.44,5.85,283.88,56.25,0.12
1981,4,15,1.29,-6.17,-2.44,4.03,0.69,59.25,4.47,225.81,5.62,226.5,63.69,2.58
1981,4,16,2.05,-5.42,-1.69,4.27,0.32,59.12,4.12,216.5,5.39,217.81,61.69,3.17
1981,4,17,1.69,-4.14,-1.23,4.76,0.89,59.08,3.13,198.12,4.02,200.06,69.88,3.91
1981,4,18,0.26,-4.16,-1.95,4.7,3.73,59.05,4.95,204.12,6.21,204.81,75,1.07
1981,4,19,-3.25,-9.8,-6.52,2.93,0.79,59.47,3.36,121.56,3.91,122.44,61.62,-1.29
1981,4,20,0.44,-12.55,-6.05,2.32,0.33,59.5,3.38,311,4.16,312.19,39.19,1.07
1981,4,21,2.3,-9.77,-3.74,2.99,0.48,59.4,2.1,251.38,2.61,251.25,42.56,3.47
1981,4,22,3.17,-5.91,-1.37,4.09,0,59.24,4.07,204.38,5.41,206.31,58.44,5.36
1981,4,23,4.29,-5.91,-0.81,4.21,3.28,59.29,3.47,239.69,4.59,240.69,56.75,6.51
1981,4,24,0.51,-3.42,-1.45,4.94,2.68,59.45,2.61,172.38,3.26,173,77.25,1.27
1981,4,25,-0.2,-5.75,-2.98,4.09,2.27,59.57,2.19,226.25,2.63,225.56,68.75,1.26
1981,4,26,1.29,-9.24,-3.98,3.11,0.12,59.59,2.07,217.12,2.5,217.5,48.75,2.73
1981,4,27,2.56,-9.78,-3.61,2.99,0.02,59.52,2.33,255,3.08,257.56,43.81,5.12
1981,4,28,0.81,-8.52,-3.85,3.3,0.06,59.58,2.62,225.19,3.26,210.31,54.31,2.51
1981,4,29,-0.25,-12.95,-6.6,2.26,0,59.48,4.43,292,5.52,291.75,42.56,1.84
1981,4,30,3.18,-12.97,-4.9,2.2,0,59.38,3,227.62,3.55,227.94,30.56,3.52
1981,5,1,1.6,-5.31,-1.85,4.27,1.23,59.54,3.3,150.5,4.26,150.81,61.88,2.73
1981,5,2,1.93,-8.23,-3.15,3.36,0,59.78,2.84,278.62,3.89,279.19,54.75,4.78
1981,5,3,0.09,-9.99,-4.95,2.87,0,59.84,3.85,310.81,4.97,295.69,51.69,2.67
1981,5,4,1.54,-11.02,-4.74,2.62,0,59.8,5.19,281,6.65,282,42.19,2.87
1981,5,5,5.02,-10.27,-2.63,2.81,0,59.77,2.59,315.44,3.12,316,35.56,5.92
1981,5,6,7.4,-9.35,-0.97,3.11,0,59.63,1.91,251.69,2.33,252.06,31.25,7.74
1981,5,7,6.84,-5.91,0.47,4.09,0.14,59.5,3.27,202.81,4.01,203.38,45,8.18
1981,5,8,6.89,-4.62,1.13,4.58,0,59.39,2.64,214.69,3.26,215.88,52.5,9.12
1981,5,9,7.37,-3.17,2.1,5.13,1.42,59.3,2.73,235.94,3.43,236.88,51,9.26
1981,5,10,5.23,-1.92,1.65,5.62,3.08,59.21,2.13,222.25,2.62,224.19,62.69,5.75
1981,5,11,4.19,-1.21,1.49,5.92,7.2,59.12,3.06,208,3.83,210.62,71.38,6.02
1981,5,12,2.79,-1.12,0.83,5.98,4.01,58.97,3.11,214,3.89,215.44,78.19,4.54
1981,5,13,1.76,-7.81,-3.02,3.54,0.87,59.27,3.59,281.88,4.59,281.94,53.5,3.33
1981,5,14,2.08,-8.09,-3,3.48,0.4,59.4,3.4,274.69,4.05,275.06,49.75,2.55
1981,5,15,3.45,-5.45,-1,4.27,0.44,59.37,3,178.81,3.68,178.38,58.81,5.55
1981,5,16,1.61,-2.64,-0.52,5.31,8.55,59.21,3.16,129.25,4.05,131,75.44,2.98
1981,5,17,2.48,-3.02,-0.27,5.13,2.24,59.16,4.47,181.06,5.87,182.31,70.44,4.15
1981,5,18,0.76,-7.93,-3.59,3.48,0.7,59.51,2.85,40.06,3.59,39.06,56.69,1.74
1981,5,19,1.76,-10.56,-4.4,2.75,0.01,59.54,3.34,231.31,4.52,231.5,44.25,4.54
1981,5,20,3.24,-12.66,-4.7,2.32,0,59.42,3.6,258.38,4.46,259.38,32.81,4.15
1981,5,21,2.65,-11.81,-4.58,2.44,0,59.55,3.5,186.62,4.27,186,37.5,4.4
1981,5,22,3.2,-4.9,-0.85,4.64,3.66,59.45,3.64,155.44,4.62,156.56,57.88,4.23
1981,5,23,4.45,-1.2,1.62,5.92,6.82,59.29,2.62,237.56,3.55,252.69,71.12,6.08
1981,5,24,2.86,-4.13,-0.63,4.7,1.01,59.52,2.65,123.75,3.7,123.38,63.75,4.42
1981,5,25,4,-3.95,0.02,4.76,1.79,59.46,1.98,203.38,2.5,204.12,59.19,5.19
1981,5,26,5.6,-4.63,0.48,4.52,0.21,59.55,2.05,137.94,2.61,152.31,53.44,8.02
1981,5,27,3.58,-3.2,0.19,5.07,3.8,59.46,2.5,199.12,3.02,199.12,63,4.65
1981,5,28,-0.14,-4.49,-2.31,4.58,10.67,59.21,4.22,90.81,5.1,91.75,74.06,1.3
1981,5,29,-1.58,-5.44,-3.51,4.21,5.07,59.41,3.37,60.5,4.12,61.62,76.31,-1.6
1981,5,30,0.94,-4.14,-1.6,4.7,0.63,59.46,2.02,230.81,2.56,231.94,72.69,1.33
1981,5,31,3.44,-6.54,-1.55,3.91,0.04,59.52,2.27,248.06,3.12,250.5,55.31,5.13
1981,6,1,4.42,-3.64,0.39,4.94,1.5,59.34,3.18,244.62,4.3,245.56,58.88,5.48
1981,6,2,5.34,-0.01,2.66,6.47,3.62,59.25,2.67,198.81,3.34,200.56,73.75,6.78
1981,6,3,6.14,0.05,3.1,6.47,1.12,59.22,1.7,193,2.34,193.38,69.75,8.11
1981,6,4,6.79,0.34,3.56,6.59,2.43,59.19,1.95,169.75,2.5,171,68.31,8.98
1981,6,5,7.99,0.56,4.28,6.77,1.59,59.01,4.53,204.38,5.87,205.5,65.94,9.87
1981,6,6,5.56,-0.47,2.55,6.29,6.6,59.05,4.47,194.44,5.41,181.31,70.31,7.46
1981,6,7,2.68,-2.06,0.31,5.55,9.37,59.35,2.94,92.38,3.51,93.88,73.75,4.74
1981,6,8,4.44,-3.24,0.6,5.07,2.92,59.49,1.88,233,2.45,231.88,62.06,5.55
1981,6,9,6.18,-3.39,1.4,5,0.18,59.61,1.52,191.88,2.01,193.81,54.56,7.44
1981,6,10,7.58,-0.51,3.54,6.16,0.12,59.57,2.18,160.38,2.81,160.44,61.19,9.63
1981,6,11,8.8,1.11,4.95,6.96,0.09,59.53,2.36,153.31,2.94,154.62,62.69,9.93
1981,6,12,9.97,2.31,6.14,7.63,0.25,59.41,2.59,177.75,3.17,179.19,62.31,10.43
1981,6,13,10.26,3.21,6.74,8.12,0.07,59.29,2.2,166.25,2.91,167.88,66.69,12.09
1981,6,14,9.61,3.82,6.72,8.54,5.96,59.27,2.85,210.62,3.59,211.81,70.75,10.99
1981,6,15,9.56,3.74,6.65,8.42,3.4,59.42,2.05,229.81,2.55,230.81,71.31,12.18
1981,6,16,8.79,3.81,6.3,8.48,11.44,59.43,2.55,180.19,3.18,180,74.12,10.82
1981,6,17,8.8,3.58,6.19,8.3,4.36,59.33,3.21,193,3.91,194,72.38,9.98
1981,6,18,9.29,3.94,6.61,8.54,5.4,59.38,2.8,192.12,3.45,193.19,72.5,10.62
1981,6,19,8.58,3.37,5.98,8.24,3.98,59.35,2.66,235.94,3.09,236.75,73.69,10.55
1981,6,20,8.34,2.26,5.3,7.57,3.94,59.46,2.2,68.38,2.97,68.31,69.06,10.44
1981,6,21,9.22,4.19,6.7,8.73,3.57,59.32,3.25,175.19,4.41,175.94,73.88,10.65
1981,6,22,8.83,2.44,5.64,7.69,1.29,59.5,2.65,89.69,3.48,90.5,68.19,11.14
1981,6,23,9.21,4.42,6.82,8.85,4.94,59.35,3.24,169.88,4.37,169.88,74.19,10.42
1981,6,24,7.37,2.05,4.72,7.45,4.79,59.62,2.41,68.5,3.02,69.56,71.56,8.69
1981,6,25,8.66,3.48,6.07,8.24,10.82,59.62,2.94,49.12,3.55,49.25,72.62,9.95
1981,6,26,7.83,3.34,5.58,8.18,11.13,59.54,2.38,80,2.84,82.56,75.56,9.2
1981,6,27,7.55,-0.24,3.65,6.29,6.76,59.65,2.02,68,2.6,112.94,62.75,8.94
1981,6,28,7.51,-0.2,3.65,6.35,1.1,59.69,1.9,137.38,2.24,149.56,62.56,8.68
1981,6,29,6.98,-1.7,2.63,5.68,0.25,59.65,2.23,266.38,2.77,266,58.81,7.98
1981,6,30,5.88,0.91,3.4,7.02,5.94,59.31,2.09,170.44,2.59,171.25,71.62,6.26
1981,7,1,7.75,3.18,5.47,8.18,4.89,59.08,2.29,247.94,2.72,248.5,76.31,9.3
1981,7,2,7.26,2.96,5.12,8.06,8.98,59.11,2.66,138.56,3.77,139.75,76.75,8.86
1981,7,3,9.24,4.54,6.89,8.97,5.45,59.17,3.84,209.38,5.3,211.81,75.25,10.27
1981,7,4,8.79,4.34,6.57,8.79,11.68,59.36,1.61,215.81,2.3,216.88,76,9.79
1981,7,5,9.62,5.69,7.65,9.64,5.42,59.39,3.85,199.56,5.5,201,78.88,9.98
1981,7,6,9.36,5.12,7.24,9.34,4.48,59.52,3.12,219,4.19,220.31,77.5,10.09
1981,7,7,7.33,4.75,6.05,9.03,7.96,59.58,1.13,176.62,1.35,182.38,84.62,7.82
1981,7,8,10.04,6.36,8.19,10.07,4.43,59.55,1.62,192.81,1.95,192.75,79.75,10.51
1981,7,9,9.2,5.93,7.56,9.83,5.24,59.54,1.8,130.69,2.38,131.75,81.88,10.38
1981,7,10,8.89,5.25,7.07,9.4,8.51,59.5,1.84,192,2.41,191,80.12,10.55
1981,7,11,9.57,5.77,7.67,9.7,8.54,59.4,2.52,152.62,3.23,153.44,79.31,10.12
1981,7,12,8.69,4.99,6.83,9.22,3.45,59.35,2.83,172.88,3.78,173.75,80.19,9.92
1981,7,13,5.39,1.72,3.55,7.26,8.75,59.69,2.96,35.19,3.77,35.75,79,6.37
1981,7,14,4.6,0.8,2.7,6.77,5.13,59.72,3.55,42.19,4.59,43.06,78.19,5.26
1981,7,15,6.73,-0.17,3.29,6.35,0.28,59.68,1.31,160.5,1.7,173.75,64.81,7.62
1981,7,16,8.94,0.67,4.8,6.77,0.1,59.54,1.58,194.06,2.02,193.81,58.69,9.08
1981,7,17,8.79,1.61,5.19,7.2,0,59.56,2,129.5,2.5,130.25,62.75,8.83
1981,7,18,9.02,3.59,6.3,8.42,0.68,59.38,3.51,175.19,4.73,176.12,71.31,9.54
1981,7,19,9.87,5.19,7.52,9.34,6.27,59.38,3.38,190,4.55,191.38,74.94,10.53
1981,7,20,9.67,5.33,7.5,9.4,4.8,59.57,2.09,150.25,2.76,150.69,76.75,10.7
1981,7,21,8.61,5.15,6.87,9.28,6.5,59.76,2.55,57,3.29,58,81.19,9.65
1981,7,22,8.52,5.41,6.97,9.4,3.47,59.81,2.45,36.44,3.23,36.69,82.56,9.23
1981,7,23,9.19,3.87,6.54,8.42,0.11,59.78,2.27,73.12,2.92,73.38,71.75,10.07
1981,7,24,9.6,3.54,6.57,8.3,14.98,59.66,1.68,252.62,2.07,253.19,67.88,8.9
1981,7,25,10.74,3.87,7.3,8.48,0.82,59.64,1.42,192.5,1.79,193.06,64.81,10.28
1981,7,26,11.3,4.65,7.98,8.91,0.52,59.67,1.54,125.81,2.02,126,66.31,11.58
1981,7,27,11.41,3.4,7.4,8.24,3.66,59.61,1.91,189.38,2.34,189.94,59.44,11.01
1981,7,28,11.05,5.99,8.52,9.89,3.67,59.53,1.92,179.44,2.52,180.25,72.25,11.11
1981,7,29,10.6,6.65,8.62,10.25,0.54,59.57,2.12,163.69,2.8,163.19,78.38,11.2
1981,7,30,10.51,6.54,8.52,10.19,1.44,59.52,3.06,163.56,4.14,164.06,78.06,10.68
1981,7,31,11.37,6.2,8.78,10.01,0.08,59.45,3.02,174.69,3.95,175.31,73.06,11.77
1981,8,1,11.44,5.84,8.64,9.77,0.19,59.56,2.32,136.81,2.99,136.88,71.25,11.53
1981,8,2,10.57,5.45,8.01,9.46,0.48,59.79,2.39,111.38,3.06,112.38,72.88,10.94
1981,8,3,10.41,4.64,7.52,8.91,0.81,59.86,2.25,144.19,2.86,144.62,69.62,10.58
1981,8,4,9.89,3.39,6.64,8.18,0.21,59.66,2.24,147.31,2.8,147.94,66.69,9.92
1981,8,5,10.41,3.68,7.05,8.36,0.33,59.54,1.55,163,1.95,164.25,65.44,10.64
1981,8,6,10.61,4.86,7.73,9.09,11.4,59.59,1.69,143.38,2.12,149.69,69.56,10.67
1981,8,7,9.4,4.89,7.15,9.09,6.1,59.7,1.91,104.81,2.55,105.75,76.56,10.6
1981,8,8,6.67,3.67,5.17,8.36,7.96,59.65,1.96,230.44,2.14,213.94,83.31,8.46
1981,8,9,7.5,2.82,5.16,7.87,6.02,59.63,2.44,41.94,2.98,41.62,74.38,8.48
1981,8,10,8.53,-0.05,4.24,6.41,0,59.7,1.77,132.56,2.33,146.44,58.38,9.2
1981,8,11,9.03,2.22,5.62,7.57,3.26,59.63,1.45,130.31,1.83,136.81,64,9.23
1981,8,12,8.58,3.6,6.08,8.36,3.9,59.49,1.7,141.69,2.24,142.19,72.62,9.19
1981,8,13,8.13,4.2,6.17,8.73,6.28,59.34,3.7,226.75,4.68,227,78.81,8.81
1981,8,14,6.59,3.74,5.17,8.42,7.08,59.44,2.34,165.56,2.95,165.31,83.31,7.57
1981,8,15,8.72,5.48,7.09,9.52,6.61,59.46,2.66,253.62,3.59,253.88,82.44,9.53
1981,8,16,9.35,5.55,7.45,9.58,8.1,59.47,1.74,190.38,2.45,190.81,79.38,10.25
1981,8,17,10.2,6.73,8.47,10.38,5.99,59.39,2.41,198.19,3.12,199.94,80.94,10.24
1981,8,18,8.34,4.49,6.41,8.91,8.49,59.48,2.59,111.06,3.74,112.44,79,9.4
1981,8,19,8.37,4.68,6.52,8.97,4.66,59.45,2.34,171.62,3.12,171.31,79.5,9.19
1981,8,20,7.48,4.84,6.16,9.16,7.76,59.4,2.28,160.56,3.02,161.44,84.81,8.03
1981,8,21,7.94,4.76,6.35,9.09,4.77,59.33,2.13,149.56,2.85,149.69,82.44,8.99
1981,8,22,8.09,4.97,6.53,9.28,6.29,59.19,3.81,212.56,5.64,213.69,82.31,8.67
1981,8,23,9.4,5.66,7.53,9.7,5.36,59.22,4.09,216.44,5.79,218.19,79.88,9.73
1981,8,24,8.93,5.47,7.2,9.58,6.24,59.3,3.41,201.5,4.74,202.5,81.19,9.36
1981,8,25,7.06,3.51,5.28,8.3,4.65,59.52,2.7,87.88,3.63,88.31,80.5,8.23
1981,8,26,7.34,3.96,5.65,8.54,4.93,59.57,1.85,184.75,2.34,184,81.56,9.01
1981,8,27,7.51,4.31,5.91,8.79,7.11,59.51,1.3,114.06,1.68,114.88,82,8.67
1981,8,28,7.4,4.17,5.79,8.73,4.91,59.37,1.69,152.5,2.11,152.25,81.69,8.41
1981,8,29,7.71,3.49,5.6,8.3,1.87,59.46,1.99,81.12,2.62,83.25,77.12,9.27
1981,8,30,8.8,4.8,6.8,9.09,1.92,59.37,2.85,221.94,3.79,222.94,78.44,9.68
1981,8,31,9.17,5.29,7.23,9.4,2.13,59.43,2.07,224.62,2.92,225.06,78.62,9.69
1981,9,1,8.97,4.95,6.96,9.16,3.5,59.46,2.88,207,4.02,208.75,78.06,9.46
1981,9,2,8,4.36,6.18,8.79,4.7,59.56,2.71,206.19,4.08,206.56,79.88,8.86
1981,9,3,8.33,4.46,6.4,8.85,8.75,59.5,3.57,207.56,5.19,208.88,78.81,8.74
